0, 0, 0
1000, 208, 0.208
2000, 263, 0.263
3000, 271, 0.271
4000, 275, 0.275
5000, 349, 0.349
6000, 379, 0.379
7000, 567, 0.567
8000, 570, 0.57
9000, 563, 0.563
10000, 558, 0.558
